Publishing Date,Headlines,Category
12/30/2007,['Karachi stocks fall below historic highs on profit-taking'],Market
1/1/2008,['KSE sees record fall of 696 points'],Market
1/2/2008,['KSE recorded 40pc growth in 2007'],Market
1/3/2008,"['KSE loses 1,419 points in three days']",Market
1/4/2008,"['KSE sees highest single-day surge, recovers 643 points']",Market
1/5/2008,"['Retail, foreign investors back on market, KSE gains 263 points']",Market
1/9/2008,['Local institutions help KSE gain 156 points'],Market
1/10/2008,['KSE sheds 53 points as investors offload on strength'],Market
1/11/2008,['Lahore bomb blast triggers panic selling on KSE'],Market
1/13/2008,['KSE stays in red zone for second consecutive week'],Market
1/15/2008,"['Selective buying in blue chips restores KSE above 14,000 levels']",Market
1/16/2008,['Bomb blast dampens sentiments on KSE'],Market
1/17/2008,"['Panic selling at KSE as oil eases, global markets tumble']",Market
1/18/2008,['KSE 100-share index sheds another 173 points'],Market
1/20/2008,['Buying on weekend trims KSE losses to 40 points'],Market
1/22/2008,['KSE slips 24 points as new week starts'],Market
1/23/2008,['Short-covering pares losses on KSE'],Market
1/24/2008,['Karachi stocks close with modest gains'],Market
1/25/2008,['KSE falls 68 points amid thin turnover'],Market
1/26/2008,"['Adjusted share prices attract buyers to KSE', 'Demutualisation termed key milestone for KSE']",Market
1/27/2008,['Accumulation on dips trims KSE losses to 18 points'],Market
1/29/2008,['Buying in tier II stocks allows moderate gains on KSE'],Market
1/31/2008,['KSE sees dull session ahead of  monetary policy announcement'],Market
2/1/2008,['Short-covering allows moderate gains on KSE'],Market
2/2/2008,['KSE falls 43 points on low volume'],Market
2/3/2008,['KSE posts recovery of 118 points'],Market
2/7/2008,['KSE sees modest gains on thin volumes'],Market
2/8/2008,"['Late buying in energy, telecom scrips minimises losses on KSE', 'KSE MD elected SAFE vice-chairman']",Market
2/12/2008,['KSE sheds 53 points amid dull trading'],Market
2/13/2008,['Buying in blue chips on discount helps KSE gain 212 points'],Market
2/14/2008,"['KSE 100-share index posts another  modest increase of 19 points', 'KSE 30-index recomposed']",Market
2/16/2008,['KSE gains 70 points in last session before polls'],Market
2/20/2008,['KSE gains 443 points as market welcomes polls'],Market
2/21/2008,['Optimistic investors push KSE to all-time high'],Market
2/22/2008,['KSE issues regulations for SIFC'],Market
2/23/2008,['KSE at third consecutive closing high'],Market
2/24/2008,['KSE at record high on post-poll buying frenzy'],Market
2/26/2008,"['KSE makes brief visit to 15,100-point levels']",Market
